FP_line,FP_sample,FP_latitude,FP_longitude,FP_T21,FP_T31,FP_MeanT21,FP_MeanT31,FP_MeanDT,FP_MAD_T21,FP_MAD_T31,FP_MAD_DT,FP_power,FP_AdjCloud,FP_AdjWater,FP_NumValid,FP_confidence
1302,574,67.139,-146.143,341.628,306.144,306.411,299.651,6.76031,3.9677,2.2838,2.76773,48.549,0,0,18,91
1302,575,67.1359,-146.121,325.615,302.907,305.266,299.339,5.92673,3.01508,1.88503,2.23226,22.9253,0,0,20,79
1303,558,67.1788,-146.513,344.767,302.878,306.743,300.033,6.70977,6.66487,3.20365,4.42862,55.2707,0,0,22,91
1303,561,67.1698,-146.445,352.35,307.124,308.039,301.784,6.25504,4.12361,2.6547,2.80002,71.1673,0,0,21,96
1303,562,67.1668,-146.423,325.325,305.431,308.834,302.004,6.83037,4.38594,2.37907,3.48363,19.4078,0,0,20,37
1303,565,67.1577,-146.355,327.843,306.417,310.983,302.88,8.10355,3.98216,1.57709,3.10943,20.8405,0,0,18,54
1303,571,67.1395,-146.219,325.929,302.55,310.287,301.588,8.69903,4.25117,2.45003,3.70509,18.6906,0,0,15,42
1303,572,67.1364,-146.196,420.625,310.994,309.485,300.545,8.94004,4.8167,2.3349,4.1009,403.849,0,0,16,100
1303,573,67.1334,-146.174,358.203,300.972,306.91,299.703,7.20724,4.82485,1.69707,3.59353,86.6511,0,0,15,99
1304,564,67.152,-146.385,337.076,304.565,308.639,301.966,6.67323,6.1381,3.11966,3.69805,38.2492,0,0,19,78
1304,570,67.1338,-146.249,326.266,304.841,308.404,300.505,7.89868,5.11396,1.96032,3.51429,21.0262,0,0,16,37
1304,571,67.1308,-146.226,388.099,312.064,306.713,299.723,6.98969,5.08329,1.48954,3.63542,196.897,0,0,16,100
1304,572,67.1277,-146.204,356.266,302.591,306.281,299.191,7.08985,5.72632,1.16177,4.66354,82.1041,0,0,15,98
1305,565,67.1403,-146.37,336.843,301.493,306.884,301.206,5.67825,6.68293,3.24434,3.48627,39.4676,0,0,19,76
1305,566,67.1373,-146.347,362.495,306.462,307.728,301.054,6.67396,6.7262,2.94577,3.95165,98.6141,0,0,19,100
1305,567,67.1342,-146.324,369.705,308.684,306.58,300.706,5.87336,5.28855,2.50715,2.89913,122.636,0,0,19,100
1305,568,67.1312,-146.302,413.056,313.572,306.768,300.509,6.25894,5.13975,2.24394,3.04397,347.739,0,0,20,100
1305,569,67.1282,-146.279,359.881,303.738,305.886,299.959,5.92649,4.56658,1.80129,3.0321,92.5128,0,0,18,99
1305,570,67.1251,-146.257,321.779,300.901,303.616,299.185,4.43111,3.09069,1.11945,2.0486,19.2939,0,0,16,74
1305,571,67.1221,-146.234,318.292,299.541,302.241,298.618,3.62262,2.08216,0.561867,1.57129,16.1122,0,0,15,69
1305,611,66.9989,-145.342,332.525,305.768,314.155,305.955,8.20054,4.04304,3.23695,2.75126,24.056,0,0,20,74
1308,610,66.9763,-145.388,335.779,305.305,309.709,302.601,7.10832,6.97008,3.24938,3.92542,33.9117,0,0,19,65
1310,611,66.9575,-145.386,333.344,303.338,309.096,302.039,7.05737,7.24786,2.8932,4.38723,30.4554,0,0,14,51
1311,613,66.9427,-145.35,354.01,305.871,312.81,304.793,8.01699,5.35306,3.68662,3.24577,68.223,0,0,17,97
1311,614,66.9396,-145.328,328.118,305.214,315.222,306.184,9.0377,3.14952,2.92878,3.3275,16.2191,0,0,19,51
1312,614,66.931,-145.336,330.047,306.161,312.064,304.216,7.84793,5.1551,3.41851,3.19029,22.3761,0,0,16,52
1313,614,66.9224,-145.344,345.616,305.848,308.898,302.326,6.57183,6.17093,3.0317,3.19984,53.0994,0,0,17,93
1313,615,66.9193,-145.322,330.556,306.507,310.603,303.647,6.95609,5.81889,3.93181,2.57815,24.5916,0,0,16,56
1313,623,66.8943,-145.147,329.102,300.128,304.097,298.671,5.42617,4.88494,2.51449,2.40968,28.2642,0,0,22,76
1314,615,66.9107,-145.33,326.341,302.087,308.203,302.119,6.08451,5.8377,3.07957,2.96389,20.7679,0,0,18,41
1314,616,66.9076,-145.308,357.033,306.422,308.151,302.83,5.32156,5.2951,3.7237,1.61613,80.3225,0,0,18,98
1314,617,66.9045,-145.286,345.147,305.065,309.597,303.701,5.89646,5.40076,3.78218,1.61858,51.3992,0,0,19,93
1314,618,66.9014,-145.264,334.477,305.013,310.345,304.112,6.2327,5.24088,3.85918,1.38637,31.0078,0,0,19,76
1315,619,66.8897,-145.25,337.191,303.07,307.267,301.014,6.25376,5.32472,3.12377,2.51215,38.4833,0,0,20,86
1315,620,66.8866,-145.228,358.937,306.502,305.988,300.184,5.80356,4.81519,2.84357,2.1151,87.1845,0,0,21,99
1430,743,65.5281,-143.613,312.144,292.13,296.97,288.178,8.79267,1.15711,1.42639,2.51974,13.0595,0,0,16,43
1469,485,65.9724,-149.413,325.605,299.001,304.499,297.464,7.03442,7.01418,1.85958,5.32709,25.9099,0,0,19,14
1469,487,65.9669,-149.366,323.001,296.929,301.807,296.425,5.38208,5.91935,2.2621,3.70651,24.4631,0,0,15,53
1470,487,65.9626,-149.375,331.821,299.439,306.714,298.356,8.3587,6.73465,2.68154,4.61025,33.8318,0,0,14,59
1470,488,65.9598,-149.352,346.387,299.193,305.245,297.367,7.8782,6.49024,1.93643,4.88329,64.9056,0,2,12,81
1472,483,65.9555,-149.48,335.417,299.295,306.99,297.376,9.61404,6.89949,2.0386,5.68578,40.2999,0,0,19,61
1473,482,65.9492,-149.51,335.174,299.469,306.374,297.213,9.16159,6.44396,1.65322,5.28225,40.5205,0,0,19,68
1474,480,65.9456,-149.563,327.589,296.978,305.195,297.495,7.70008,6.74129,1.90531,5.50234,28.5437,0,0,18,39
1475,479,65.9393,-149.593,342.072,300.002,306.198,297.589,8.60865,7.49566,2.08642,6.14448,54.9218,0,0,19,78
1476,479,65.9302,-149.599,338.479,300.705,305.932,298.304,7.62842,6.10559,2.57598,4.49585,47.62,0,0,17,84
1477,479,65.9211,-149.606,326.054,299.463,306.657,299.392,7.26478,4.7733,2.81269,3.24176,24.6861,0,0,17,64
1478,478,65.9147,-149.636,343.179,301.681,305.4,298.147,7.25345,6.0324,2.85657,4.40218,58.2451,0,0,18,92
1481,684,65.2923,-145.235,330.647,294.801,301.257,293.585,7.67258,3.23143,1.97122,2.66165,32.5656,0,0,20,83
1481,685,65.2892,-145.214,331.821,297.161,302.127,293.457,8.67068,3.11483,1.84291,3.01107,33.6625,0,0,20,84
1482,477,65.8865,-149.688,323.821,298.53,302.387,296.485,5.90193,5.83012,2.01498,4.10193,25.4899,0,1,14,47
1482,478,65.8837,-149.665,328.305,298.645,302.877,296.771,6.10615,5.48277,2.29333,3.78516,32.0153,0,1,14,68
1482,684,65.2838,-145.242,340.192,293.122,300.264,292.428,7.83613,3.79543,1.84382,3.52882,49.1888,0,0,20,90
1482,685,65.2807,-145.222,340.37,296.671,301.694,292.303,9.39108,3.48687,2.15191,3.09863,48.4068,0,0,20,90
1498,610,65.3708,-146.878,322.284,298.602,303.763,297.574,6.18912,5.51059,3.17203,2.38349,19.3484,0,0,21,49
1499,610,65.3622,-146.885,335.938,302.123,306.632,298.82,7.81163,6.1482,3.14263,3.452,37.0474,0,0,22,78
1500,616,65.3376,-146.773,321.211,302.667,305.649,299.206,6.44238,4.24878,3.16944,1.30634,16.3326,0,0,17,54
1500,617,65.3347,-146.753,328.814,304.109,307.102,300.007,7.09466,5.42104,3.77451,1.81397,25.279,0,0,16,66
1500,630,65.2963,-146.485,318.854,295.87,299.579,290.255,9.32398,2.87535,1.79367,3.70639,18.3495,1,0,11,39
1501,605,65.3612,-147.009,311.691,298.493,301.712,295.843,5.86878,0.999999,1.79533,1.935,9.02036,0,0,21,32
1504,884,64.4012,-141.335,315.55,286.072,295.139,280.396,14.7434,2.62024,3.24729,1.99835,20.5958,0,0,22,64
1504,885,64.3973,-141.314,331.998,285.306,296.087,282.673,13.4132,1.98908,2.72329,2.10507,44.8406,0,0,22,84
1542,885,64.0865,-141.647,313.105,298.124,303.017,297.192,5.82446,2.96497,1.37984,1.63067,10.783,0,0,21,37
1544,887,64.0611,-141.622,328.628,299.469,306.805,298.584,8.22119,3.86137,2.15584,2.27382,29.2254,0,0,22,80
1544,888,64.057,-141.601,328.804,298.493,304.975,297.779,7.19662,4.3726,2.10119,2.40125,31.433,0,0,22,78
1547,945,63.7893,-140.396,322.017,299.121,302.846,297.324,5.52239,2.74551,0.797756,2.43511,25.2543,0,0,22,75
1548,945,63.7806,-140.406,323.809,299.397,302.292,296.992,5.2996,2.93149,0.854856,2.3412,28.7882,0,0,22,77
1550,882,64.0336,-141.78,328.13,297.978,303.786,296.724,7.06193,4.22796,1.40853,2.94281,31.1879,0,0,16,80
1552,884,64.0082,-141.754,338.18,298.348,304.499,296.813,7.68537,4.54757,2.43401,2.29551,49.1407,0,0,21,89
1552,885,64.0043,-141.734,333.514,298.916,304.299,296.706,7.59319,5.37899,2.39992,3.04615,40.2952,0,0,22,82
1555,716,64.5699,-145.17,343.77,299.547,303.758,294.414,9.34431,5.11896,1.9953,4.46649,53.4831,0,0,21,92
1555,717,64.5668,-145.15,342.747,298.717,304.516,294.221,10.295,5.31493,2.37753,4.63939,50.8552,0,0,20,91
